NCESID,StudentTestID,StudentLocalID,StudentGradeLevel,TestDate,TestName,TestTypeName,TestSubjectName,TestGradeLevel,Score1Label,Score1Type,Score1Value,Score2Label,Score2Type,Score2Value,Score3Label,Score3Type,Score3Value,Score4Label,Score4Type,Score4Value
373737,1408905, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,2 - W,Scaled Score,Scale,216,CPI,Scale,25, , , 
373737,1020285, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,238,CPI,Scale,75, , , 
373737,1681155, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,220,CPI,Scale,50, , , 
373737,1987801, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,252,CPI,Scale,100, , , 
373737,1351732, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,246,CPI,Scale,100, , , 
373737,1259640, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,2 - W,Scaled Score,Scale, ,CPI,Scale,100, , , 
373737,1833359, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,230,CPI,Scale,75, , , 
373737,1624948, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,240,CPI,Scale,100, , , 
373737,1761110, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,234,CPI,Scale,75, , , 
373737,1336566, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,226,CPI,Scale,50, , , 
373737,1866389, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,232,CPI,Scale,75, , , 
373737,1491765, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,252,CPI,Scale,100, , , 
373737,1889694, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,238,CPI,Scale,75, , , 
373737,1241930, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,226,CPI,Scale,50, , , 
373737,1747558, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,250,CPI,Scale,100, , , 
373737,1023064, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,250,CPI,Scale,100, , , 
373737,1005327, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,258,CPI,Scale,100, , , 
373737,1586347, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,5 - A,Scaled Score,Scale,262,CPI,Scale,100, , , 
373737,1501880, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,240,CPI,Scale,100, , , 
373737,1930164, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,234,CPI,Scale,75, , , 
373737,1811886, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,242,CPI,Scale,100, , , 
373737,1227344, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,240,CPI,Scale,100, , , 
373737,1784982, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,240,CPI,Scale,100, , , 
373737,1498506, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,226,CPI,Scale,50, , , 
373737,1400281, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,232,CPI,Scale,75, , , 
373737,1235577, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,230,CPI,Scale,75, , , 
373737,1129564, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,226,CPI,Scale,50, , , 
373737,1310756, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,2 - W,Scaled Score,Scale, ,CPI,Scale,100, , , 
373737,1209171, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,250,CPI,Scale,100, , , 
373737,1460452, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,258,CPI,Scale,100, , , 
373737,1996604, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,236,CPI,Scale,75, , , 
373737,1232977, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,242,CPI,Scale,100, , , 
373737,1042439, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,244,CPI,Scale,100, , , 
373737,1471371, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,238,CPI,Scale,75, , , 
373737,1610216, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,234,CPI,Scale,75, , , 
373737,1033861, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,5 - A,Scaled Score,Scale,262,CPI,Scale,100, , , 
373737,1278342, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,258,CPI,Scale,100, , , 
373737,1322437, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,238,CPI,Scale,75, , , 
